Room,Building,Floor,Description,ScannedAt,WiFi_Signals
"401a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:BA:30:66%; 68:28:CF:63:BA:20:57%; 68:28:CF:63:EB:80:34%; 68:28:CF:63:1D:10:29%; 68:28:CF:63:1D:00:20%"
"401b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:BA:30:62%; 68:28:CF:63:BA:20:59%; 68:28:CF:63:1D:00:37%; 68:28:CF:63:1D:10:24%; 68:28:CF:63:EB:80:22%; 68:28:CF:63:B2:40:20%"
"402a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:1D:00:35%; 68:28:CF:76:CD:20:34%; 68:28:CF:63:BA:20:33%; 68:28:CF:63:1D:10:27%; 68:28:CF:76:CD:30:24%; 68:28:CF:63:BA:30:22%"
"402b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:1D:00:67%; 68:28:CF:63:BA:30:40%; 68:28:CF:63:1D:10:37%; 68:28:CF:76:CD:20:34%; 68:28:CF:76:CD:30:29%; 68:28:CF:75:AC:50:17%"
"403a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:E7:20:100%; 68:28:CF:63:E7:30:80%; 68:28:CF:74:C7:20:74%; 68:28:CF:74:C7:30:57%; 68:28:CF:74:2A:20:45%; 68:28:CF:63:E0:B0:15%; 68:28:CF:74:2A:30:15%"
"403b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:74:C7:30:85%; 68:28:CF:74:C7:20:82%; 68:28:CF:63:E7:30:59%; 68:28:CF:63:E7:20:57%; 68:28:CF:74:2A:20:39%; 68:28:CF:63:E0:A0:24%; 68:28:CF:74:2A:30:20%"
"404a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:74:2A:30:82%; 68:28:CF:74:2A:20:79%; 68:28:CF:74:C7:20:40%; 68:28:CF:74:C7:30:32%; 68:28:CF:63:E7:20:29%"
"408a","AB2","4","","2026-08-11T15:35:30.396Z","B0:27:CF:B7:50:90:87%; 68:28:CF:63:C9:40:80%; 68:28:CF:63:C9:50:77%; B0:27:CF:B7:50:70:73%; 68:28:CF:63:96:20:70%; 68:28:CF:63:52:A0:69%; 68:28:CF:63:49:C0:64%; 4C:23:1A:03:F2:D1:57%; 68:28:CF:63:52:B0:57%; B0:27:CF:B7:51:03:57%; B0:27:CF:B6:FC:80:42%; 68:28:CF:63:49:D0:39%; 48:9B:D5:F8:18:C0:29%; B0:27:CF:B6:FE:00:27%; B0:27:CF:B7:2D:40:24%; B0:27:CF:B7:51:70:24%; 68:28:CF:63:96:30:20%; B0:27:CF:B6:FC:90:20%; 68:28:CF:74:C7:30:14%"
"408b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:C9:40:82%; 68:28:CF:63:C9:50:63%; 68:28:CF:63:52:B0:55%; 68:28:CF:63:52:A0:54%; 68:28:CF:63:49:C0:45%; 68:28:CF:63:49:D0:24%; 68:28:CF:63:96:30:17%"
"409a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:C9:50:45%; 68:28:CF:63:49:C0:42%; 68:28:CF:63:6D:60:42%; 68:28:CF:63:96:30:42%; 68:28:CF:63:96:20:39%; 68:28:CF:63:52:B0:19%; 68:28:CF:63:6D:70:19%"
"409b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:49:D0:59%; 68:28:CF:63:96:20:57%; 68:28:CF:63:96:30:57%; 68:28:CF:63:49:C0:55%; 68:28:CF:63:52:B0:20%; 68:28:CF:63:7D:10:19%"
"410 faculty cabin a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:6D:70:80%; 68:28:CF:63:6D:60:64%; 68:28:CF:76:7D:B0:35%"
"414a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:5B:40:79%; 68:28:CF:63:5B:50:79%; 68:28:CF:63:E9:F0:35%"
"414b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:5B:40:84%; 68:28:CF:63:5B:50:57%; 68:28:CF:63:E9:E0:40%; 68:28:CF:76:BD:C0:29%"
"415a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:E9:F0:74%; 68:28:CF:63:E9:E0:70%; 68:28:CF:63:5B:50:42%; 68:28:CF:76:7D:B0:30%"
"415b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:E9:F0:75%; 68:28:CF:63:5B:50:20%"
"416a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:E9:F0:39%; 68:28:CF:63:6D:70:37%"
"416b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:E9:F0:40%; 68:28:CF:63:6D:70:31%"
"417a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:76:C2:60:97%; 68:28:CF:76:7D:B0:89%; 68:28:CF:76:7D:A0:72%; 68:28:CF:76:C2:70:60%; 68:28:CF:74:8F:30:20%"
"417b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:76:7D:B0:82%; 68:28:CF:76:C2:60:69%; 68:28:CF:76:C2:70:37%; 68:28:CF:63:6D:70:27%"
"418a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:74:8F:30:64%; 68:28:CF:76:C2:60:57%; 68:28:CF:74:8F:20:47%; 68:28:CF:76:B5:10:39%; 68:28:CF:76:C2:70:37%"
"418b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:76:C2:70:92%; 68:28:CF:76:C2:60:85%; 68:28:CF:76:7D:B0:47%; 68:28:CF:74:8F:30:25%"
"419a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:74:8F:30:79%; 68:28:CF:76:B5:00:64%; 68:28:CF:76:B5:10:62%; 68:28:CF:76:C2:70:39%"
"419b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:74:8F:30:70%; 68:28:CF:74:8F:20:47%; 68:28:CF:76:B5:10:39%; 68:28:CF:76:C2:70:37%"
"420a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:76:B5:10:69%; 68:28:CF:75:35:20:47%; 68:28:CF:74:8F:30:42%; 68:28:CF:75:35:30:42%; 68:28:CF:75:AC:50:20%; 68:28:CF:76:C2:70:19%; 68:28:CF:63:68:70:14%"
"420b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:76:B5:10:69%; 68:28:CF:74:8F:30:45%; 68:28:CF:76:C2:70:25%; 68:28:CF:75:35:30:17%"
"421a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:37:80:64%; 68:28:CF:75:AC:40:60%; 68:28:CF:63:68:60:54%; 68:28:CF:75:AC:50:54%; 68:28:CF:75:35:30:42%; 68:28:CF:63:37:90:37%; 68:28:CF:63:68:70:24%; 68:28:CF:74:8F:30:20%"
"421b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:75:AC:50:75%; 68:28:CF:75:AC:40:65%; 68:28:CF:63:37:90:50%; 68:28:CF:63:37:80:29%"
"422a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:37:90:75%; 68:28:CF:63:37:80:57%; 68:28:CF:63:68:60:42%; 68:28:CF:75:AC:50:32%; 68:28:CF:63:68:70:27%"
"422b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:37:80:64%; 68:28:CF:63:37:90:63%; 68:28:CF:75:AC:50:32%; 68:28:CF:63:68:70:29%; 68:28:CF:63:68:60:20%"
"423a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:68:70:83%; 68:28:CF:63:68:60:82%; 68:28:CF:75:AC:40:49%; 68:28:CF:75:35:30:44%; 68:28:CF:63:37:80:35%; 68:28:CF:63:2A:80:32%; 68:28:CF:63:37:90:32%"
"423b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:68:60:60%; 68:28:CF:63:68:70:52%; 68:28:CF:63:37:80:37%; 68:28:CF:63:37:90:29%; 68:28:CF:63:2A:80:22%; 68:28:CF:75:AC:40:15%"
"427 faculty cabin b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:75:35:20:74%; 68:28:CF:75:35:30:63%; 68:28:CF:75:AC:40:34%; 68:28:CF:75:AC:50:17%"
"427a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:75:35:20:92%; 68:28:CF:75:35:30:65%; 68:28:CF:75:AC:40:52%; 68:28:CF:76:B5:00:29%; 68:28:CF:76:B5:10:22%; 68:28:CF:63:37:90:17%; 68:28:CF:63:81:90:15%; 68:28:CF:75:AC:50:15%"
"428 os studio a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:81:80:67%; 68:28:CF:63:C2:80:62%; 68:28:CF:63:81:90:55%; 68:28:CF:75:35:30:45%; 68:28:CF:63:44:20:42%; 68:28:CF:75:F3:B0:35%; 68:28:CF:75:AC:50:30%; 68:28:CF:75:F3:A0:27%; 68:28:CF:74:8F:30:24%; 68:28:CF:76:B5:10:24%"
"428 os studio b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:81:80:65%; 68:28:CF:63:81:90:59%; 68:28:CF:63:C2:80:44%; 68:28:CF:75:F3:A0:35%; 68:28:CF:63:44:20:34%; 68:28:CF:76:B5:10:24%; 68:28:CF:75:35:20:22%; 68:28:CF:75:35:30:22%"
"429a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:44:20:61%; 68:28:CF:75:F3:A0:45%; 68:28:CF:63:C2:80:37%; 68:28:CF:75:F3:B0:37%; 68:28:CF:63:81:90:34%; 68:28:CF:63:81:80:30%; 68:28:CF:75:35:20:29%; 68:28:CF:75:AC:50:24%; 68:28:CF:76:B5:10:24%; 68:28:CF:63:1D:10:15%"
"429b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:63:44:20:67%; 68:28:CF:75:F3:A0:47%; 68:28:CF:63:C2:80:40%; 68:28:CF:63:81:80:34%; 68:28:CF:75:F3:B0:32%; 68:28:CF:63:81:90:27%; 68:28:CF:76:B5:10:27%; 68:28:CF:75:35:30:20%; 68:28:CF:75:AC:50:19%; 68:28:CF:63:1D:10:17%"
"4o4b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:74:2A:20:79%; 68:28:CF:74:2A:30:67%; 68:28:CF:74:C7:20:40%; 68:28:CF:63:E7:20:35%; 68:28:CF:63:E7:30:19%; 68:28:CF:74:C7:30:17%"
"boys washroom a","AB2","4","near 414","2026-08-11T15:35:30.396Z","68:28:CF:63:5B:50:32%"
"faculty cabin 430 a","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:76:CD:30:62%; 68:28:CF:75:F3:A0:30%; 68:28:CF:63:1D:00:29%; 68:28:CF:63:1D:10:25%; 68:28:CF:75:AC:50:15%"
"faculty cabin 430 b","AB2","4","","2026-08-11T15:35:30.396Z","68:28:CF:76:CD:20:79%; 68:28:CF:76:CD:30:62%; 68:28:CF:75:F3:A0:30%; 68:28:CF:63:1D:10:27%; 68:28:CF:63:1D:00:25%"
"faculty cabin a","AB2","4","near 408","2026-08-11T15:35:30.396Z","68:28:CF:63:E0:B0:74%; 68:28:CF:63:E0:A0:64%; 68:28:CF:63:E7:20:35%; 68:28:CF:63:E7:30:32%; 68:28:CF:63:E6:40:25%; 68:28:CF:74:2A:20:22%; 68:28:CF:63:C9:50:17%"
"female wasroom a","AB2","4","near 401","2026-08-11T15:35:30.396Z","68:28:CF:63:BA:20:49%; 68:28:CF:63:1D:00:44%; 68:28:CF:63:BA:30:42%; 68:28:CF:76:CD:20:32%; 68:28:CF:63:1D:10:29%"
"female wasroom b","AB2","4","near 401","2026-08-11T15:35:30.396Z","68:28:CF:63:BA:30:42%; 68:28:CF:63:BA:20:40%; 68:28:CF:63:EB:80:39%; 68:28:CF:63:1D:10:17%"
